name,latitude,longitude,region_id
nl_national,52.13,5.29,0
nl_groningen,53.22,6.74,1
nl_region_2_friesland,53.11,5.85,2
nl_region_3_drenthe,52.86,6.62,3
nl_region_4_overijssel,52.45,6.45,4
nl_region_5_flevoland,52.53,5.60,5
nl_region_6_gelderland,52.06,5.95,6
nl_region_7_utrecht,52.08,5.17,7
nl_region_8_noord_holland,52.58,4.87,8
nl_region_9_zuid_holland,51.94,4.47,9
nl_region_10_zeeland,51.45,3.84,10
nl_region_11_noord_brabant,51.56,5.20,11
nl_region_12_limburg,51.21,5.94,12
